Country,Year,AluminiumProduction,BauxiteProduction,CopperProduction,GoldProduction,HeightGini,Height,IronOreProduction,LeadProduction,ManganeseProduction,NickelProduction,SilverProduction,TinProduction,TungstenProduction,ZincProduction
AFG,1870,,,,,,168.4,,,,,,,,
AFG,1880,,,,,42.8383,165.69,,,,,,,,
AFG,1930,,,,,37.783,166.8,,,,,,,,
AFG,1990,,,,,,167.1,,,,,,,,
AFG,2000,,,,,,161.4,,,,,,,,
AGO,1681,,,,0.0,,,,,,,,,,
AGO,1682,,,,0.0,,,,,,,,,,
AGO,1683,,,,0.0,,,,,,,,,,
AGO,1684,,,,0.0,,,,,,,,,,
AGO,1685,,,,0.0,,,,,,,,,,
AGO,1686,,,,0.0,,,,,,,,,,
AGO,1687,,,,0.0,,,,,,,,,,
AGO,1688,,,,0.0,,,,,,,,,,
AGO,1689,,,,0.0,,,,,,,,,,
AGO,1690,,,,0.0,,,,,,,,,,
AGO,1691,,,,0.0,,,,,,,,,,
AGO,1692,,,,0.0,,,,,,,,,,
AGO,1693,,,,0.0,,,,,,,,,,
AGO,1694,,,,0.0,,,,,,,,,,
AGO,1695,,,,0.0,,,,,,,,,,
AGO,1696,,,,0.0,,,,,,,,,,
AGO,1697,,,,0.0,,,,,,,,,,
AGO,1698,,,,0.0,,,,,,,,,,
AGO,1699,,,,0.0,,,,,,,,,,
AGO,1700,,,,0.0,,,,,,,,,,
AGO,1701,,,,0.0,,,,,,,,,,
AGO,1702,,,,0.0,,,,,,,,,,
AGO,1703,,,,0.0,,,,,,,,,,
AGO,1704,,,,0.0,,,,,,,,,,
AGO,1705,,,,0.0,,,,,,,,,,
AGO,1706,,,,0.0,,,,,,,,,,
AGO,1707,,,,0.0,,,,,,,,,,
AGO,1708,,,,0.0,,,,,,,,,,
AGO,1709,,,,0.0,,,,,,,,,,
AGO,1710,,,,0.0,,,,,,,,,,
AGO,1711,,,,0.0,,,,,,,,,,
AGO,1712,,,,0.0,,,,,,,,,,
AGO,1713,,,,0.0,,,,,,,,,,
AGO,1714,,,,0.0,,,,,,,,,,
AGO,1715,,,,0.0,,,,,,,,,,
AGO,1716,,,,0.0,,,,,,,,,,
AGO,1717,,,,0.0,,,,,,,,,,
AGO,1718,,,,0.0,,,,,,,,,,
AGO,1719,,,,0.0,,,,,,,,,,
AGO,1720,,,,0.0,,,,,,,,,,
AGO,1721,,,,0.0,,,,,,,,,,
AGO,1722,,,,0.0,,,,,,,,,,
AGO,1723,,,,0.0,,,,,,,,,,
AGO,1724,,,,0.0,,,,,,,,,,
AGO,1725,,,,0.0,,,,,,,,,,
AGO,1726,,,,0.0,,,,,,,,,,
AGO,1727,,,,0.0,,,,,,,,,,
AGO,1728,,,,0.0,,,,,,,,,,
AGO,1729,,,,0.0,,,,,,,,,,
AGO,1730,,,,0.0,,,,,,,,,,
AGO,1731,,,,0.0,,,,,,,,,,
AGO,1732,,,,0.0,,,,,,,,,,
AGO,1733,,,,0.0,,,,,,,,,,
AGO,1734,,,,0.0,,,,,,,,,,
AGO,1735,,,,0.0,,,,,,,,,,
AGO,1736,,,,0.0,,,,,,,,,,
AGO,1737,,,,0.0,,,,,,,,,,
AGO,1738,,,,0.0,,,,,,,,,,
AGO,1739,,,,0.0,,,,,,,,,,
AGO,1740,,,,0.0,,,,,,,,,,
AGO,1741,,,,0.0,,,,,,,,,,
AGO,1742,,,,0.0,,,,,,,,,,
AGO,1743,,,,0.0,,,,,,,,,,
AGO,1744,,,,0.0,,,,,,,,,,
AGO,1745,,,,0.0,,,,,,,,,,
AGO,1746,,,,0.0,,,,,,,,,,
AGO,1747,,,,0.0,,,,,,,,,,
AGO,1748,,,,0.0,,,,,,,,,,
AGO,1749,,,,0.0,,,,,,,,,,
AGO,1750,,,,0.0,,,,,,,,,,
AGO,1751,,,,0.0,,,,,,,,,,
AGO,1752,,,,0.0,,,,,,,,,,
AGO,1753,,,,0.0,,,,,,,,,,
AGO,1754,,,,0.0,,,,,,,,,,
AGO,1755,,,,0.0,,,,,,,,,,
AGO,1756,,,,0.0,,,,,,,,,,
AGO,1757,,,,0.0,,,,,,,,,,
AGO,1758,,,,0.0,,,,,,,,,,
AGO,1759,,,,0.0,,,,,,,,,,
AGO,1760,,,,0.0,,,,,,,,,,
AGO,1761,,,,0.0,,,,,,,,,,
AGO,1762,,,,0.0,,,,,,,,,,
AGO,1763,,,,0.0,,,,,,,,,,
AGO,1764,,,,0.0,,,,,,,,,,
AGO,1765,,,,0.0,,,,,,,,,,
AGO,1766,,,,0.0,,,,,,,,,,
AGO,1767,,,,0.0,,,,,,,,,,
AGO,1768,,,,0.0,,,,,,,,,,
AGO,1769,,,,0.0,,,,,,,,,,
AGO,1770,,,,0.0,,,,,,,,,,
AGO,1771,,,,0.0,,,,,,,,,,
AGO,1772,,,,0.0,,,,,,,,,,
AGO,1773,,,,0.0,,,,,,,,,,
AGO,1774,,,,0.0,,,,,,,,,,
AGO,1775,,,,0.0,,,,,,,,,,
AGO,1776,,,,0.0,,,,,,,,,,
AGO,1777,,,,0.0,,,,,,,,,,
AGO,1778,,,,0.0,,,,,,,,,,
AGO,1779,,,,0.0,,,,,,,,,,
AGO,1780,,,,0.0,,,,,,,,,,
AGO,1781,,,,0.0,,,,,,,,,,
AGO,1782,,,,0.0,,,,,,,,,,
AGO,1783,,,,0.0,,,,,,,,,,
AGO,1784,,,,0.0,,,,,,,,,,
AGO,1785,,,,0.0,,,,,,,,,,
AGO,1786,,,,0.0,,,,,,,,,,
AGO,1787,,,,0.0,,,,,,,,,,
AGO,1788,,,,0.0,,,,,,,,,,
AGO,1789,,,,0.0,,,,,,,,,,
AGO,1790,,,,0.0,,160.4,,,,,,,,
AGO,1791,,,,0.0,,,,,,,,,,
AGO,1792,,,,0.0,,,,,,,,,,
AGO,1793,,,,0.0,,,,,,,,,,
AGO,1794,,,,0.0,,,,,,,,,,
AGO,1795,,,,0.0,,,,,,,,,,
AGO,1796,,,,0.0,,,,,,,,,,
AGO,1797,,,,0.0,,,,,,,,,,
AGO,1798,,,,0.0,,,,,,,,,,
AGO,1799,,,,0.0,,,,,,,,,,
AGO,1800,,,,0.0,,158.6,,,,,,,,
AGO,1801,,,,0.0,,,,,,,,,,
AGO,1802,,,,0.0,,,,,,,,,,
AGO,1803,,,,0.0,,,,,,,,,,
AGO,1804,,,,0.0,,,,,,,,,,
AGO,1805,,,,0.0,,,,,,,,,,
AGO,1806,,,,0.0,,,,,,,,,,
AGO,1807,,,,0.0,,,,,,,,,,
AGO,1808,,,,0.0,,,,,,,,,,
AGO,1809,,,,0.0,,,,,,,,,,
AGO,1810,,,,0.0,60.0141,160.5,,,,,,,,
AGO,1811,,,,0.0,,,,,,,,,,
AGO,1812,,,,0.0,,,,,,,,,,
AGO,1813,,,,0.0,,,,,,,,,,
AGO,1814,,,,0.0,,,,,,,,,,
AGO,1815,,,,0.0,,,,,,,,,,
AGO,1816,,,,0.0,,,,,,,,,,
AGO,1817,,,,0.0,,,,,,,,,,
AGO,1818,,,,0.0,,,,,,,,,,
AGO,1819,,,,0.0,,,,,,,,,,
AGO,1820,,,,0.0,44.3689,,0.0,,,,,,,
AGO,1821,,,,0.0,,,0.0,,,,,,,
AGO,1822,,,,0.0,,,0.0,,,,,,,
AGO,1823,,,,0.0,,,0.0,,,,,,,
AGO,1824,,,,0.0,,,0.0,,,,,,,
AGO,1825,,,,0.0,,,0.0,,,,,,,
AGO,1826,,,,0.0,,,0.0,,,,,,,
AGO,1827,,,,0.0,,,0.0,,,,,,,
AGO,1828,,,,0.0,,,0.0,,,,,,,
AGO,1829,,,,0.0,,,0.0,,,,,,,
AGO,1830,,,,0.0,,,0.0,,,,,,,
AGO,1831,,,,0.0,,,0.0,,,,,,,
