COUNTRYCODE,YEAR,POPULATION,GDPVALUE,PERCAPITAGDP
ABW,1,,,
ABW,1000,,,
ABW,1500,,,
ABW,1600,,,
ABW,1700,,,
ABW,1820,,,
ABW,1821,,,
ABW,1822,,,
ABW,1823,,,
ABW,1824,,,
ABW,1825,,,
ABW,1826,,,
ABW,1827,,,
ABW,1828,,,
ABW,1829,,,
ABW,1830,,,
ABW,1831,,,
ABW,1832,,,
ABW,1833,,,
ABW,1834,,,
ABW,1835,,,
ABW,1836,,,
ABW,1837,,,
ABW,1838,,,
ABW,1839,,,
ABW,1840,,,
ABW,1841,,,
ABW,1842,,,
ABW,1843,,,
ABW,1844,,,
ABW,1845,,,
ABW,1846,,,
ABW,1847,,,
ABW,1848,,,
ABW,1849,,,
ABW,1850,,,
ABW,1851,,,
ABW,1852,,,
ABW,1853,,,
ABW,1854,,,
ABW,1855,,,
ABW,1856,,,
ABW,1857,,,
ABW,1858,,,
ABW,1859,,,
ABW,1860,,,
ABW,1861,,,
ABW,1862,,,
ABW,1863,,,
ABW,1864,,,
ABW,1865,,,
ABW,1866,,,
ABW,1867,,,
ABW,1868,,,
ABW,1869,,,
ABW,1870,,,
ABW,1871,,,
ABW,1872,,,
ABW,1873,,,
ABW,1874,,,
ABW,1875,,,
ABW,1876,,,
ABW,1877,,,
ABW,1878,,,
ABW,1879,,,
ABW,1880,,,
ABW,1881,,,
ABW,1882,,,
ABW,1883,,,
ABW,1884,,,
ABW,1885,,,
ABW,1886,,,
ABW,1887,,,
ABW,1888,,,
ABW,1889,,,
ABW,1890,,,
ABW,1891,,,
ABW,1892,,,
ABW,1893,,,
ABW,1894,,,
ABW,1895,,,
ABW,1896,,,
ABW,1897,,,
ABW,1898,,,
ABW,1899,,,
ABW,1900,,,
ABW,1901,,,
ABW,1902,,,
ABW,1903,,,
ABW,1904,,,
ABW,1905,,,
ABW,1906,,,
ABW,1907,,,
ABW,1908,,,
ABW,1909,,,
ABW,1910,,,
ABW,1911,,,
ABW,1912,,,
ABW,1913,,,
ABW,1914,,,
ABW,1915,,,
ABW,1916,,,
ABW,1917,,,
ABW,1918,,,
ABW,1919,,,
ABW,1920,,,
ABW,1921,,,
ABW,1922,,,
ABW,1923,,,
ABW,1924,,,
ABW,1925,,,
ABW,1926,,,
ABW,1927,,,
ABW,1928,,,
ABW,1929,,,
ABW,1930,,,
ABW,1931,,,
ABW,1932,,,
ABW,1933,,,
ABW,1934,,,
ABW,1935,,,
ABW,1936,,,
ABW,1937,,,
ABW,1938,,,
ABW,1939,,,
ABW,1940,,,
ABW,1941,,,
ABW,1942,,,
ABW,1943,,,
ABW,1944,,,
ABW,1945,,,
ABW,1946,,,
ABW,1947,,,
ABW,1948,,,
ABW,1949,,,
ABW,1950,49712.0,,
ABW,1951,51335.0,,
ABW,1952,51955.0,,
ABW,1953,52585.0,,
ABW,1954,53220.0,,
ABW,1955,53865.0,,
ABW,1956,54516.0,,
ABW,1957,55176.0,,
ABW,1958,55843.0,,
ABW,1959,56518.0,,
ABW,1960,57203.0,,
ABW,1961,57008.0,,
ABW,1962,57681.0,,
ABW,1963,58541.0,,
ABW,1964,59091.0,,
ABW,1965,59020.0,,
ABW,1966,58632.0,,
ABW,1967,58316.0,,
ABW,1968,58149.0,,
ABW,1969,58424.0,,
ABW,1970,59039.0,,
ABW,1971,59397.0,,
ABW,1972,59421.0,,
ABW,1973,59529.0,,
ABW,1974,59435.0,,
ABW,1975,59230.0,,
ABW,1976,59137.0,,
ABW,1977,59172.0,,
ABW,1978,59201.0,,
ABW,1979,59420.0,,
ABW,1980,59901.0,,
ABW,1981,60308.0,,
ABW,1982,61043.0,,
ABW,1983,62019.0,,
ABW,1984,62683.0,,
ABW,1985,61511.0,,
ABW,1986,59804.0,,
ABW,1987,59177.0,,
ABW,1988,59499.0,,
ABW,1989,60687.0,,
ABW,1990,63032.0,,
ABW,1991,66304.0,,
ABW,1992,69478.0,,
ABW,1993,74066.0,,
ABW,1994,77853.0,,
ABW,1995,79962.0,,
ABW,1996,83070.0,,
ABW,1997,86206.0,,
ABW,1998,88204.0,,
ABW,1999,89259.0,,
ABW,2000,89995.0,,
ABW,2001,90971.0,,
ABW,2002,92170.0,,
ABW,2003,93716.0,,
ABW,2004,95461.0,,
ABW,2005,96976.0,,
ABW,2006,98496.0,,
ABW,2007,100018.0,,
ABW,2008,101541.0,,
ABW,2009,103000,,
ABW,2030,132132.0,,
AFG,1,,,
AFG,1000,,,
AFG,1500,,,
AFG,1600,,,
AFG,1700,,,
AFG,1820,3280000.0,,
AFG,1821,,,
AFG,1822,,,
AFG,1823,,,
AFG,1824,,,
AFG,1825,,,
AFG,1826,,,
AFG,1827,,,
AFG,1828,,,
AFG,1829,,,
AFG,1830,,,
AFG,1831,,,
AFG,1832,,,
AFG,1833,,,
AFG,1834,,,
AFG,1835,,,
AFG,1836,,,
AFG,1837,,,
AFG,1838,,,
AFG,1839,,,
AFG,1840,,,
AFG,1841,,,
AFG,1842,,,
AFG,1843,,,
AFG,1844,,,
AFG,1845,,,
AFG,1846,,,
AFG,1847,,,
AFG,1848,,,
AFG,1849,,,
AFG,1850,,,
AFG,1851,,,
AFG,1852,,,
AFG,1853,,,
AFG,1854,,,
AFG,1855,,,
AFG,1856,,,
AFG,1857,,,
AFG,1858,,,
AFG,1859,,,
AFG,1860,,,
AFG,1861,,,
AFG,1862,,,
AFG,1863,,,
AFG,1864,,,
AFG,1865,,,
AFG,1866,,,
AFG,1867,,,
AFG,1868,,,
AFG,1869,,,
AFG,1870,4207000.0,,
AFG,1871,,,
AFG,1872,,,
AFG,1873,,,
AFG,1874,,,
AFG,1875,,,
AFG,1876,,,
AFG,1877,,,
AFG,1878,,,
AFG,1879,,,
AFG,1880,,,
AFG,1881,,,
AFG,1882,,,
AFG,1883,,,
AFG,1884,,,
AFG,1885,,,
AFG,1886,,,
AFG,1887,,,
AFG,1888,,,
AFG,1889,,,
AFG,1890,,,
AFG,1891,,,
AFG,1892,,,
AFG,1893,,,
AFG,1894,,,
AFG,1895,,,
AFG,1896,,,
AFG,1897,,,
AFG,1898,,,
AFG,1899,,,
AFG,1900,,,
AFG,1901,,,
AFG,1902,,,
AFG,1903,,,
AFG,1904,,,
AFG,1905,,,
AFG,1906,,,
AFG,1907,,,
AFG,1908,,,
AFG,1909,,,
AFG,1910,,,
AFG,1911,,,
AFG,1912,,,
AFG,1913,5730000.0,,
AFG,1914,,,
AFG,1915,,,
AFG,1916,,,
AFG,1917,,,
AFG,1918,,,
AFG,1919,,,
AFG,1920,,,
AFG,1921,,,
AFG,1922,,,
AFG,1923,,,
AFG,1924,,,
AFG,1925,,,
AFG,1926,,,
AFG,1927,,,
AFG,1928,,,
AFG,1929,,,
AFG,1930,,,
AFG,1931,,,
AFG,1932,,,
AFG,1933,,,
AFG,1934,,,
AFG,1935,,,
AFG,1936,,,
AFG,1937,,,
AFG,1938,,,
AFG,1939,,,
AFG,1940,,,
AFG,1941,,,
AFG,1942,,,
AFG,1943,,,
AFG,1944,,,
AFG,1945,,,
AFG,1946,,,
AFG,1947,,,
AFG,1948,,,
AFG,1949,,,
AFG,1950,8150368.0,5255000000.0,644.7561631572954
AFG,1951,8284473.0,5408000000.0,652.7874494853203
AFG,1952,8425333.0,5591000000.0,663.5939493430111
AFG,1953,8573217.0,5933000000.0,692.0389394086258
AFG,1954,8728408.0,6059000000.0,694.1701167039854
AFG,1955,8891209.0,6180000000.0,695.068578412677
AFG,1956,9061938.0,6458000000.0,712.6510907490208
AFG,1957,9240934.0,6458000000.0,698.8471078789222
AFG,1958,9428556.0,6821000000.0,723.4405777512484
AFG,1959,9624606.0,7016000000.0,728.964905160793
AFG,1960,9829450.0,7268000000.0,739.410648612079
AFG,1961,10043473.0,7331000000.0,729.9267892690108
AFG,1962,10267083.0,7457000000.0,726.3017158817163
AFG,1963,10500711.0,7594000000.0,723.1891250030593
AFG,1964,10744167.0,7741000000.0,720.4839612042516
AFG,1965,10997885.0,7914000000.0,719.5929035446361
AFG,1966,11262324.0,7993000000.0,709.7114236812935
AFG,1967,11537966.0,8214000000.0,711.910574186126
AFG,1968,11825320.0,8508000000.0,719.473130536848
AFG,1969,12122740.0,8645000000.0,713.1226108948968
AFG,1970,12430623.0,8819000000.0,709.4576032110377
AFG,1971,12749385.0,8398000000.0,658.6984391796153
AFG,1972,13079460.0,8240000000.0,629.9954279458021
AFG,1973,13421301.0,9181000000.0,684.0618506357916
AFG,1974,13772076.0,9680000000.0,702.8715206044463
AFG,1975,14132019.0,10184000000.0,720.6330532105851
AFG,1976,14501369.0,10694000000.0,737.4476161526542
AFG,1977,14880372.0,9959000000.0,669.2709026360362
AFG,1978,15269281.0,10752000000.0,704.1588926158344
AFG,1979,15555612.0,10715000000.0,688.818929142743
AFG,1980,15112149.0,10427000000.0,689.9746687251429
AFG,1981,13812973.0,10547000000.0,763.5575628794758
AFG,1982,12881816.0,10726000000.0,832.6465771596179
AFG,1983,12934937.0,11157000000.0,862.547687708104
AFG,1984,13387737.0,11336000000.0,846.7450473519162
AFG,1985,13796928.0,11299000000.0,818.9504214271467
AFG,1986,13856100.0,12161000000.0,877.6639891455749
AFG,1987,13867957.0,10064000000.0,725.701702132477
AFG,1988,14076478.0,9228000000.0,655.5617108199934
AFG,1989,14511868.0,9284000000.0,639.7522358940971
AFG,1990,14669339.0,8861000000.0,604.0490304300691
AFG,1991,14871963.0,8932000000.0,600.5932101902083
AFG,1992,16317921.0,9021000000.0,552.8277775091569
AFG,1993,18371583.0,8741000000.0,475.7891576354635
AFG,1994,19900668.0,8479000000.0,426.06609989172216
AFG,1995,20881480.0,10700000000.0,512.4157866204886
AFG,1996,21559923.0,11342000000.0,526.0686691691802
AFG,1997,22227415.0,12023000000.0,540.9086031821514
AFG,1998,22912814.0,12744000000.0,556.1953237171131
AFG,1999,23646128.0,13508000000.0,571.2563173133461
AFG,2000,23898198.0,13508000000.0,565.2309015098126
AFG,2001,23997412.0,12157000000.0,506.5962946337713
AFG,2002,25268405.0,15634000000.0,618.7173270335029
AFG,2003,27060359.0,18088000000.0,668.4316346283506
AFG,2004,28513677.0,19535000000,685.1098158964205
AFG,2005,29928987.0,22680000000,757.793773641587
AFG,2006,31056997.0,24540000000,790.1601046617611
AFG,2007,31889923.0,27509000000,862.6235942934075
AFG,2008,32738376.0,28445000000,868.8580032192189
AFG,2009,38396000,,
AFG,2030,56322744.0,,
AGO,1,,,
AGO,1000,,,
AGO,1500,,,
AGO,1600,,,
AGO,1700,,,
AGO,1820,,,
AGO,1821,,,
AGO,1822,,,
AGO,1823,,,
AGO,1824,,,
AGO,1825,,,
AGO,1826,,,
AGO,1827,,,
AGO,1828,,,
AGO,1829,,,
AGO,1830,,,
AGO,1831,,,
AGO,1832,,,
AGO,1833,,,
AGO,1834,,,
AGO,1835,,,
AGO,1836,,,
AGO,1837,,,
AGO,1838,,,
AGO,1839,,,
AGO,1840,,,
AGO,1841,,,
AGO,1842,,,
AGO,1843,,,
AGO,1844,,,
AGO,1845,,,
AGO,1846,,,
AGO,1847,,,
AGO,1848,,,
AGO,1849,,,
AGO,1850,,,
AGO,1851,,,
AGO,1852,,,
AGO,1853,,,
AGO,1854,,,
AGO,1855,,,
AGO,1856,,,
AGO,1857,,,
AGO,1858,,,
AGO,1859,,,
AGO,1860,,,
AGO,1861,,,
AGO,1862,,,
AGO,1863,,,
AGO,1864,,,
AGO,1865,,,
AGO,1866,,,
AGO,1867,,,
AGO,1868,,,
AGO,1869,,,
AGO,1870,,,
AGO,1871,,,
AGO,1872,,,
AGO,1873,,,
AGO,1874,,,
AGO,1875,,,
AGO,1876,,,
AGO,1877,,,
AGO,1878,,,
AGO,1879,,,
AGO,1880,,,
AGO,1881,,,
AGO,1882,,,
AGO,1883,,,
AGO,1884,,,
AGO,1885,,,
AGO,1886,,,
AGO,1887,,,
AGO,1888,,,
AGO,1889,,,
AGO,1890,,,
AGO,1891,,,
AGO,1892,,,
AGO,1893,,,
AGO,1894,,,
AGO,1895,,,
AGO,1896,,,
AGO,1897,,,
AGO,1898,,,
AGO,1899,,,
AGO,1900,,,
AGO,1901,,,
AGO,1902,,,
AGO,1903,,,
AGO,1904,,,
AGO,1905,,,
AGO,1906,,,
AGO,1907,,,
AGO,1908,,,
AGO,1909,,,
AGO,1910,,,
AGO,1911,,,
AGO,1912,,,
AGO,1913,,,
AGO,1914,,,
AGO,1915,,,
AGO,1916,,,
AGO,1917,,,
AGO,1918,,,
AGO,1919,,,
AGO,1920,,,
AGO,1921,,,
AGO,1922,,,
AGO,1923,,,
AGO,1924,,,
AGO,1925,,,
AGO,1926,,,
AGO,1927,,,
AGO,1928,,,
AGO,1929,,,
AGO,1930,,,
AGO,1931,,,
AGO,1932,,,
AGO,1933,,,
AGO,1934,,,
AGO,1935,,,
AGO,1936,,,
AGO,1937,,,
AGO,1938,,,
AGO,1939,,,
AGO,1940,,,
AGO,1941,,,
AGO,1942,,,
AGO,1943,,,
AGO,1944,,,
AGO,1945,,,
AGO,1946,,,
AGO,1947,,,
AGO,1948,,,
AGO,1949,,,
AGO,1950,4117617.0,4331000000.0,1051.8219640146228
AGO,1951,4173095.0000000005,4491000000.0,1076.1796700051161
AGO,1952,4232095.0,4660000000.0,1101.109497778287
AGO,1953,4293840.0,4833000000.0,1125.5659270024034
AGO,1954,4357527.0,4703000000.0,1079.2818954420707
AGO,1955,4423223.0,5080000000.0,1148.483809204284
AGO,1956,4490992.0,4985000000.0,1109.9997506118914
AGO,1957,4561361.0,5461000000.0,1197.230388035501
AGO,1958,4635885.0,5751000000.0,1240.539832200324
AGO,1959,4714676.0,5777000000.0,1225.3228005487545
AGO,1960,4797344.0,6011000000.0,1252.984985025047
AGO,1961,4752489.0,6635000000.0,1396.1105433384487
AGO,1962,4826015.0,6444000000.0,1335.2631518965438
AGO,1963,4919586.0,6791000000.0,1380.4007085149035
AGO,1964,5026044.0,7587000000.0,1509.537123033543
AGO,1965,5134818.0,8194000000.0,1595.7722357442854
AGO,1966,5201250.0,8635000000.0,1660.1778418649362
AGO,1967,5247469.0,9064000000.0,1727.30891788022
AGO,1968,5350384.0,8947000000.0,1672.2164240921772
AGO,1969,5471641.0,9255000000.0,1691.4486897075303
AGO,1970,5605626.0,9909000000.0,1767.6883901994174
AGO,1971,5752957.0,9943000000.0,1728.3285795461359
AGO,1972,5895212.0,10091000000.0,1711.7280939175723
AGO,1973,6026363.0,10784000000.0,1789.4706973343623
AGO,1974,5987492.0,10242000000.0,1710.5659598376083
AGO,1975,5885455.0,6314000000.0,1072.8142514045219
AGO,1976,5943466.0,5669000000.0,953.8205484813069
AGO,1977,6163714.0,5799000000.0,940.8288574064275
AGO,1978,6287180.0,6037000000.0,960.20791515433
AGO,1979,6452546.0,6184000000.0,958.3813892996656
AGO,1980,6743080.0,6483000000.0,961.4300883275891
AGO,1981,6879574.0,6353000000.0,923.4583420426906
AGO,1982,7018526.0,6050000000.0,862.004358180051
AGO,1983,7240535.0,5851000000.0,808.0894574779351
AGO,1984,7442448.0,5881000000.0,790.1969889477225
AGO,1985,7584709.0,5911000000.0,779.3311516631687
AGO,1986,7748632.0,5379000000.0,694.1870513401591
AGO,1987,7878396.0,5985000000.0,759.6724003210807
AGO,1988,8023390.0,6843000000.0,852.881388041713
AGO,1989,8153844.0,6959000000.0,853.4624895938651
AGO,1990,8296606.0,7202000000.0,868.0658090790379
AGO,1991,8496810.0,7252000000.0,853.4967829102923
AGO,1992,8741838.0,7180000000.0,821.3375722588316
AGO,1993,8966258.0,5241000000.0,584.5247816870761
AGO,1994,9172280.0,5310000000.0,578.9182188071014
AGO,1995,9419124.0,5861000000.0,622.2447013119266
AGO,1996,9650607.0,6518000000.0,675.3979309280753
AGO,1997,9855579.0,7033000000.0,713.6059687614497
AGO,1998,10039174.0,7511000000.0,748.1691222803788
AGO,1999,10215443.0,7759000000.0,759.5363216259932
AGO,2000,10377267.0,7991000000.0,770.0486072103571
AGO,2001,10538387.0,8239000000.0,781.8084494334854
AGO,2002,10760510.0,9425000000.0,875.8878528991656
AGO,2003,11057090.0,9745000000.0,881.3349624539549
AGO,2004,11391126.0,10836000000,951.266801894738
AGO,2005,11706954.0,13069000000,1116.3450373171363
AGO,2006,11992807.0,15499000000,1292.3579942543893
AGO,2007,12263596.0,18645000000,1520.3534102069248
AGO,2008,12531357.0,21106000000,1684.254945414132
AGO,2009,12799000,,
AGO,2030,18959940.0,,
AIA,1,,,
AIA,1000,,,
AIA,1500,,,
AIA,1600,,,
AIA,1700,,,
AIA,1820,,,
AIA,1821,,,
AIA,1822,,,
AIA,1823,,,
AIA,1824,,,
AIA,1825,,,
AIA,1826,,,
AIA,1827,,,
AIA,1828,,,
AIA,1829,,,
AIA,1830,,,
AIA,1831,,,
AIA,1832,,,
AIA,1833,,,
AIA,1834,,,
AIA,1835,,,
AIA,1836,,,
AIA,1837,,,
AIA,1838,,,
AIA,1839,,,
AIA,1840,,,
AIA,1841,,,
AIA,1842,,,
AIA,1843,,,
AIA,1844,,,
AIA,1845,,,
AIA,1846,,,
AIA,1847,,,
AIA,1848,,,
AIA,1849,,,
AIA,1850,,,
AIA,1851,,,
AIA,1852,,,
AIA,1853,,,
AIA,1854,,,
AIA,1855,,,
AIA,1856,,,
AIA,1857,,,
AIA,1858,,,
AIA,1859,,,
AIA,1860,,,
AIA,1861,,,
AIA,1862,,,
AIA,1863,,,
AIA,1864,,,
AIA,1865,,,
AIA,1866,,,
AIA,1867,,,
AIA,1868,,,
AIA,1869,,,
AIA,1870,,,
AIA,1871,,,
AIA,1872,,,
AIA,1873,,,
AIA,1874,,,
AIA,1875,,,
AIA,1876,,,
AIA,1877,,,
AIA,1878,,,
AIA,1879,,,
AIA,1880,,,
AIA,1881,,,
AIA,1882,,,
AIA,1883,,,
AIA,1884,,,
AIA,1885,,,
AIA,1886,,,
AIA,1887,,,
AIA,1888,,,
AIA,1889,,,
AIA,1890,,,
AIA,1891,,,
AIA,1892,,,
AIA,1893,,,
AIA,1894,,,
AIA,1895,,,
AIA,1896,,,
AIA,1897,,,
AIA,1898,,,
AIA,1899,,,
AIA,1900,,,
AIA,1901,,,
AIA,1902,,,
AIA,1903,,,
AIA,1904,,,
AIA,1905,,,
AIA,1906,,,
AIA,1907,,,
AIA,1908,,,
AIA,1909,,,
AIA,1910,,,
AIA,1911,,,
AIA,1912,,,
AIA,1913,,,
AIA,1914,,,
AIA,1915,,,
AIA,1916,,,
AIA,1917,,,
AIA,1918,,,
AIA,1919,,,
AIA,1920,,,
AIA,1921,,,
AIA,1922,,,
AIA,1923,,,
AIA,1924,,,
AIA,1925,,,
AIA,1926,,,
AIA,1927,,,
AIA,1928,,,
AIA,1929,,,
AIA,1930,,,
AIA,1931,,,
AIA,1932,,,
AIA,1933,,,
AIA,1934,,,
AIA,1935,,,
AIA,1936,,,
AIA,1937,,,
AIA,1938,,,
AIA,1939,,,
AIA,1940,,,
AIA,1941,,,
AIA,1942,,,
AIA,1943,,,
AIA,1944,,,
AIA,1945,,,
AIA,1946,,,
AIA,1947,,,
AIA,1948,,,
AIA,1949,,,
AIA,1950,5219.0,,
AIA,1951,5261.0,,
AIA,1952,5303.0,,
AIA,1953,5345.0,,
AIA,1954,5387.0,,
AIA,1955,5430.0,,
AIA,1956,5473.0,,
AIA,1957,5516.0,,
AIA,1958,5560.0,,
AIA,1959,5604.0,,
AIA,1960,5648.0,,
AIA,1961,5690.0,,
AIA,1962,5733.0,,
AIA,1963,5776.0,,
AIA,1964,5819.0,,
AIA,1965,5863.0,,
AIA,1966,5907.0,,
AIA,1967,5951.0,,
AIA,1968,5996.0,,
AIA,1969,6041.0,,
AIA,1970,6100.0,,
AIA,1971,6208.0,,
AIA,1972,6318.0,,
AIA,1973,6430.0,,
AIA,1974,6269.0,,
AIA,1975,6309.0,,
AIA,1976,6350.0,,
AIA,1977,6390.0,,
AIA,1978,6431.0,,
AIA,1979,6473.0,,
AIA,1980,6515.0,,
AIA,1981,6557.0,,
AIA,1982,6599.0,,
AIA,1983,6642.0,,
AIA,1984,6688.0,,
AIA,1985,6967.0,,
AIA,1986,7246.0,,
AIA,1987,7533.0,,
AIA,1988,7820.0,,
AIA,1989,8113.0,,
AIA,1990,8411.0,,
AIA,1991,8702.0,,
AIA,1992,8977.0,,
AIA,1993,9248.0,,
AIA,1994,9541.0,,
AIA,1995,9845.0,,
AIA,1996,10138.0,,
AIA,1997,10438.0,,
AIA,1998,10754.0,,
AIA,1999,11079.0,,
AIA,2000,11426.0,,
AIA,2001,11774.0,,
AIA,2002,12113.0,,
AIA,2003,12448.0,,
AIA,2004,12782.0,,
AIA,2005,13116.0,,
AIA,2006,13448.0,,
AIA,2007,13779.0,,
AIA,2008,14108.0,,
AIA,2009,14000,,
AIA,2030,21354.0,,
ALB,1,200000.0,,
ALB,1000,200000.0,,
ALB,1500,200000.0,,
ALB,1600,200000.0,,
ALB,1700,300000.0,,
ALB,1820,437000.0,,
ALB,1821,,,
ALB,1822,,,
ALB,1823,,,
ALB,1824,,,
ALB,1825,,,
ALB,1826,,,
ALB,1827,,,
ALB,1828,,,
ALB,1829,,,
ALB,1830,,,
ALB,1831,,,
ALB,1832,,,
ALB,1833,,,
ALB,1834,,,
ALB,1835,,,
ALB,1836,,,
ALB,1837,,,
ALB,1838,,,
ALB,1839,,,
ALB,1840,,,
ALB,1841,,,
ALB,1842,,,
ALB,1843,,,
ALB,1844,,,
ALB,1845,,,
ALB,1846,,,
ALB,1847,,,
ALB,1848,,,
ALB,1849,,,
ALB,1850,500000.0,,
ALB,1851,,,
ALB,1852,,,
ALB,1853,,,
ALB,1854,,,
ALB,1855,,,
ALB,1856,,,
ALB,1857,,,
ALB,1858,,,
ALB,1859,,,
ALB,1860,,,
ALB,1861,,,
ALB,1862,,,
ALB,1863,,,
ALB,1864,,,
ALB,1865,,,
ALB,1866,,,
ALB,1867,,,
ALB,1868,,,
ALB,1869,,,
ALB,1870,603000.0,269000000.0,446.1028192371476
ALB,1871,,,
ALB,1872,,,
ALB,1873,,,
ALB,1874,,,
ALB,1875,,,
ALB,1876,,,
ALB,1877,,,
ALB,1878,,,
ALB,1879,,,
ALB,1880,,,
ALB,1881,,,
ALB,1882,,,
ALB,1883,,,
ALB,1884,,,
ALB,1885,,,
ALB,1886,,,
ALB,1887,,,
ALB,1888,,,
ALB,1889,,,
ALB,1890,726000.0,434000000.0,597.7961432506887
ALB,1891,,,
ALB,1892,,,
ALB,1893,,,
ALB,1894,,,
ALB,1895,,,
ALB,1896,,,
ALB,1897,,,
ALB,1898,,,
ALB,1899,,,
ALB,1900,800000.0,548000000.0,685.0
ALB,1901,,,
ALB,1902,,,
ALB,1903,,,
ALB,1904,,,
ALB,1905,,,
ALB,1906,,,
ALB,1907,,,
ALB,1908,,,
ALB,1909,,,
ALB,1910,874000.0,682000000.0,780.3203661327232
ALB,1911,,,
ALB,1912,,,
ALB,1913,898000.0,728000000.0,810.6904231625836
ALB,1914,,,
ALB,1915,,,
ALB,1916,,,
ALB,1917,,,
ALB,1918,,,
ALB,1919,,,
ALB,1920,932000.0,,
ALB,1921,937000.0,,
ALB,1922,942000.0,,
ALB,1923,947000.0,,
ALB,1924,952000.0,,
ALB,1925,956000.0,,
ALB,1926,962000.0,,
ALB,1927,967000.0,,
ALB,1928,972000.0,,
ALB,1929,977000.0,905000000.0,926.3050153531218
ALB,1930,982000.0,,
ALB,1931,988000.0,,
ALB,1932,993000.0,,
ALB,1933,998000.0,,
ALB,1934,1003000.0,,
ALB,1935,1009000.0,,
ALB,1936,1014000.0,,
ALB,1937,1030000.0,,
ALB,1938,1040000.0,,
ALB,1939,1070000.0,,
ALB,1940,1088000.0,,
ALB,1941,1100000.0,,
ALB,1942,1117000.0,,
ALB,1943,1119000.0,,
ALB,1944,1122000.0,,
ALB,1945,1138000.0,,
ALB,1946,1154000.0,,
ALB,1947,1175000.0,,
ALB,1948,1192000.0,,
ALB,1949,1209000.0,,
ALB,1950,1227156.0,1228798689.873569,1001.3386153623247
ALB,1951,1254119.0,1310000000.0,1044.5579725687915
ALB,1952,1282697.0,1342000000.0,1046.2330542598916
ALB,1953,1314608.0,1431000000.0,1088.5374195197353
ALB,1954,1352982.0,1516000000.0,1120.4879296250801
ALB,1955,1392164.0,1644000000.0,1180.8953542829722
ALB,1956,1434476.0,1711000000.0,1192.7700428588557
ALB,1957,1476505.0,1874000000.0,1269.2134466188736
ALB,1958,1521417.0,2018000000.0,1326.3950646009607
ALB,1959,1571329.0,2170000000.0,1380.9965958752116
ALB,1960,1623114.0,2355000000.0,1450.9147231802572
ALB,1961,1676635.0,2452862854.3001833,1462.9677027499624
ALB,1962,1728137.0,2611889676.121995,1511.3904025676175
ALB,1963,1779715.0,2781592447.5115027,1562.942632675177
ALB,1964,1832284.0,2961837221.2481337,1616.4727854678279
ALB,1965,1883652.0,3155958984.0797706,1675.4469424712054
ALB,1966,1932963.0,3359999968.504475,1738.263985655429
ALB,1967,1984060.0,3578629581.0184093,1803.690201414478
ALB,1968,2038698.0,3809888452.0316496,1868.785103056779
ALB,1969,2100263.0,4058239591.2912326,1932.2530517802925
ALB,1970,2156612.0,4320851034.060528,2003.536581480826
ALB,1971,2208719.0,4602134339.035838,2083.621474273476
ALB,1972,2263554.0,4901054288.037936,2165.2031663649004
ALB,1973,2295691.0,5218218004.512485,2273.0489445280245
ALB,1974,2347924.0,5356841893.858858,2281.522695734129
ALB,1975,2401108.0,5497269976.290059,2289.4721837960055
ALB,1976,2454824.0,5642747537.89627,2298.6362924170003
ALB,1977,2509048.0,5792619010.780589,2308.6919862755076
ALB,1978,2563376.0,5945284080.765792,2319.3179934452814
ALB,1979,2617679.0,6100829299.70324,2330.62545090641
ALB,1980,2671412.0,6270028686.897131,2347.0841213924064
ALB,1981,2724272.0,6428400175.089599,2359.6763374177026
ALB,1982,2780097.0,6596199900.591979,2372.6509904481672
ALB,1983,2837315.0,6771256394.594326,2386.501461626335
ALB,1984,2895998.0,6950649691.125611,2400.0878768305815
ALB,1985,2956697.0,7133471552.132978,2412.648828112241
ALB,1986,3015438.0,7321420591.910603,2427.979149931321
ALB,1987,3075321.0,7513806096.826913,2443.2591254138715
ALB,1988,3136843.0,7712647213.009652,2458.7291149125576
ALB,1989,3195800.0,7916863515.693461,2477.271267192397
ALB,1990,3250778.0,8125000000.0,2499.4016816897374
ALB,1991,3294227.0,5850000000.0,1775.8339057994485
ALB,1992,3326498.0,5428800000.0,1631.9865516227576
ALB,1993,3351656.0,5949964800.0,1775.2313483245296
ALB,1994,3378424.0,6443811878.4,1907.3425592524798
ALB,1995,3400516.0,7300838858.227199,2146.9797107930676
ALB,1996,3414733.0,7965215194.325873,2332.6026352062877
ALB,1997,3428038.0,7152763244.504634,2086.547244956046
ALB,1998,3441234.0,8061164176.556724,2342.521367787463
ALB,1999,3457493.0,8875341758.388952,2566.9876290100815
ALB,2000,3473835.0,9523241706.751347,2741.4202766542876
ALB,2001,3490304.0,10208915109.637444,2924.935796319588
ALB,2002,3508512.0,10556018223.365118,3008.6880772718227
ALB,2003,3526642.0,11189000000.0,3172.706500971746
ALB,2004,3544808.0,11849000000,3342.6352005524695
ALB,2005,3563112.0,12536000000,3518.2727907514554
ALB,2006,3581655.0,13226000000,3692.7063047669303
ALB,2007,3600523.0,14059000000,3904.710510112003
ALB,2008,3619000.0,15015000000,4148.936170212765
ALB,2009,3639000,,
ALB,2030,3987665.0,,
AND,1,,,
AND,1000,,,
AND,1500,,,
AND,1600,,,
AND,1700,,,
AND,1820,,,
AND,1821,,,
AND,1822,,,
AND,1823,,,
AND,1824,,,
AND,1825,,,
