YEAR,COUNTRY,NOBELLAUREATES
1901,NLD,1
1901,DEU,2
1901,DEU,2
1902,DEU,1
1902,NLD,2
1902,NLD,2
1902,GBR,1
1903,SWE,1
1903,FRA,3
1903,FRA,3
1903,FRA,3
1903,DNK,1
1904,GBR,2
1904,GBR,2
1904,RUS,1
1905,DEU,3
1905,DEU,3
1905,DEU,3
1906,FRA,1
1906,GBR,1
1906,ITA,2
1906,ITA,2
1907,DEU,1
1907,USA,1
1907,FRA,1
1908,GBR,1
1908,FRA,1
1908,DEU,2
1908,DEU,2
1909,DEU,3
1909,DEU,3
1909,DEU,3
1909,CHE,1
1910,DEU,2
1910,NLD,1
1910,DEU,2
1911,FRA,1
1911,DEU,1
1911,SWE,1
1912,FRA,3
1912,FRA,3
1912,SWE,1
1912,FRA,3
1913,CHE,1
1913,NLD,1
1913,FRA,1
1914,USA,1
1914,DEU,1
1914,AUT,1
1915,DEU,1
1915,GBR,2
1915,GBR,2
1917,GBR,1
1918,DEU,2
1918,DEU,2
1919,DEU,1
1919,BEL,1
1920,DEU,1
1920,CHE,1
1920,DNK,1
1921,GBR,1
1921,CHE,1
1922,GBR,3
1922,DNK,1
1922,GBR,3
1922,GBR,3
1923,AUT,1
1923,USA,1
1923,CAN,2
1923,CAN,2
1924,SWE,1
1924,NLD,1
1925,AUT,1
1925,DEU,2
1925,DEU,2
1926,SWE,1
1926,FRA,1
1926,DNK,1
1927,DEU,1
1927,USA,2
1927,USA,2
1927,AUT,1
1928,DEU,1
1928,GBR,1
1928,FRA,1
1929,SWE,2
1929,SWE,2
1929,FRA,1
1929,NLD,2
1929,NLD,2
1930,DEU,1
1930,IND,1
1930,USA,1
1931,DEU,3
1931,DEU,3
1931,DEU,3
1932,USA,1
1932,DEU,1
1932,GBR,2
1932,GBR,2
1933,GBR,2
1933,GBR,2
1933,USA,1
1934,USA,4
1934,USA,4
1934,USA,4
1934,USA,4
1935,FRA,1
1935,GBR,1
1935,DEU,1
1936,NLD,1
1936,USA,2
1936,USA,2
1936,GBR,2
1936,GBR,2
1937,GBR,2
1937,GBR,2
1937,USA,2
1937,USA,2
1937,HUN,1
1938,DEU,1
1938,ITA,1
1938,BEL,1
1939,DEU,3
1939,DEU,3
1939,USA,1
1939,DEU,3
1943,HUN,1
1943,USA,1
1943,DNK,2
1943,DNK,2
1944,DEU,1
1944,USA,3
1944,USA,3
1944,USA,3
1945,FIN,1
1945,AUT,1
1945,GBR,3
1945,GBR,3
1945,GBR,3
1946,USA,5
1946,USA,5
1946,USA,5
1946,USA,5
1946,USA,5
1947,GBR,2
1947,GBR,2
1947,USA,2
1947,USA,2
1948,SWE,1
1948,GBR,1
1948,CHE,1
1949,USA,1
1949,JPN,1
1949,PRT,2
1949,PRT,2
1950,DEU,2
1950,DEU,2
1950,GBR,1
1950,USA,3
1950,USA,3
1950,USA,3
1951,USA,2
1951,USA,2
1951,GBR,2
1951,GBR,2
1951,ZAF,1
1952,GBR,2
1952,GBR,2
1952,USA,3
1952,USA,3
1952,USA,3
1953,DEU,1
1953,NLD,1
1953,GBR,2
1953,GBR,2
1954,USA,4
1954,GBR,2
1954,GBR,2
1954,USA,4
1954,USA,4
1954,USA,4
1955,USA,3
1955,USA,3
1955,USA,3
1955,SWE,1
1956,GBR,2
1956,GBR,2
1956,USA,6
1956,USA,6
1956,USA,6
1956,USA,6
1956,USA,6
1956,USA,6
1957,GBR,1
1957,CHN,2
1957,CHN,2
1957,ITA,1
1958,GBR,1
1958,RUS,3
1958,RUS,3
1958,RUS,3
1958,USA,3
1958,USA,3
1958,USA,3
1959,CZE,1
1959,USA,4
1959,USA,4
1959,USA,4
1959,USA,4
1960,USA,2
1960,USA,2
1960,AUS,2
1960,AUS,2
1961,USA,4
1961,USA,4
1961,USA,4
1961,USA,4
1962,GBR,5
1962,GBR,5
1962,RUS,1
1962,GBR,5
1962,GBR,5
1962,GBR,5
1963,ITA,2
1963,ITA,2
1963,DEU,3
1963,DEU,3
1963,DEU,3
1963,AUS,3
1963,AUS,3
1963,AUS,3
1964,GBR,1
1964,RUS,3
1964,RUS,3
1964,RUS,3
1964,USA,2
1964,USA,2
1965,USA,4
1965,USA,4
1965,USA,4
1965,USA,4
1965,FRA,3
1965,FRA,3
1965,FRA,3
1966,USA,3
1966,FRA,1
1966,USA,3
1966,USA,3
1967,DEU,3
1967,DEU,3
1967,DEU,3
1967,USA,1
1967,SWE,3
1967,SWE,3
1967,SWE,3
1968,USA,5
1968,USA,5
1968,USA,5
1968,USA,5
1968,USA,5
1969,GBR,2
1969,GBR,2
1969,USA,4
1969,USA,4
1969,USA,4
1969,USA,4
1970,ARG,1
1970,SWE,2
1970,SWE,2
1970,USA,3
1970,USA,3
1970,USA,3
1971,CAN,1
1971,GBR,1
1971,USA,1
1972,USA,8
1972,USA,8
1972,USA,8
1972,USA,8
1972,USA,8
1972,USA,8
1972,USA,8
1972,USA,8
1973,DEU,2
1973,DEU,2
1973,JPN,3
1973,JPN,3
1973,JPN,3
1973,AUT,3
1973,AUT,3
1973,AUT,3
1974,USA,4
1974,GBR,2
1974,GBR,2
1974,USA,4
1974,USA,4
1974,USA,4
1975,GBR,2
1975,GBR,2
1975,DNK,3
1975,DNK,3
1975,DNK,3
1975,USA,3
1975,USA,3
1975,USA,3
1976,USA,5
1976,USA,5
1976,USA,5
1976,USA,5
1976,USA,5
1977,BEL,1
1977,USA,6
