COUNTRYCODE,YEAR,ARMEDFORCESPERCOFPOP
AFG,1985,0.41131353
AFG,1989,0.46319574
AFG,1990,0.48150274
AFG,1991,0.3676822
AFG,1992,0.33888254
AFG,1993,0.30114183
AFG,1994,0.27691022
AFG,1995,2.2442553
AFG,1996,2.4151025
AFG,1997,2.324945
AFG,1998,2.0876875
AFG,1999,2.0112896
AFG,2000,1.9870564
AFG,2002,0.56132257
AFG,2003,0.5718557
AFG,2004,0.11459811
AFG,2005,0.11063524
AFG,2006,0.20059747
AFG,2007,0.1968368
AFG,2008,0.35495034
AFG,2009,0.9311311
AFG,2010,1.0847108
AFG,2011,1.1597173
AFG,2012,1.1065122
AFG,2013,1.0456109
AFG,2014,0.94167954
AFG,2015,0.9440845
AFG,2016,0.9308206
AFG,2017,0.9050436
AFG,2018,0.74272656
AFG,2019,0.7343604
AFG,2020,0.42233044
AFG,2023,
ALA,2023,
ALB,1985,1.3350085
ALB,1992,1.9802258
ALB,1993,1.9830519
ALB,1994,1.9881549
ALB,1995,2.654581
ALB,1996,2.079718
ALB,1997,2.0900357
ALB,1998,2.1027508
ALB,1999,2.116951
ALB,2000,2.1319578
ALB,2001,1.2865753
ALB,2002,0.8615053
ALB,2003,0.7055719
ALB,2004,0.69385886
ALB,2005,0.73144376
ALB,2006,0.376956
ALB,2007,0.4796809
ALB,2008,0.48448333
ALB,2009,0.49790034
ALB,2010,0.503469
ALB,2011,0.5066211
ALB,2012,0.5068821
ALB,2013,0.29234618
ALB,2014,0.29273108
ALB,2015,0.29324612
ALB,2016,0.29332444
ALB,2017,0.3105378
ALB,2018,0.31096882
ALB,2019,0.27729934
ALB,2020,0.27856123
ALB,2023,
DZA,1985,0.7724291
DZA,1989,0.5089996
DZA,1990,0.49653688
DZA,1991,0.4848412
DZA,1992,0.47317693
DZA,1993,0.4619277
DZA,1994,0.45181975
DZA,1995,0.5721782
DZA,1996,0.56797445
DZA,1997,0.91347826
DZA,1998,0.8923908
DZA,1999,0.99493635
DZA,2000,0.9875792
DZA,2001,0.9741097
DZA,2002,1.0012349
DZA,2003,0.9594178
DZA,2004,0.97461605
DZA,2005,0.9634781
DZA,2006,0.9933541
DZA,2007,0.97691166
DZA,2008,0.9593039
DZA,2009,0.94166315
DZA,2010,0.876529
DZA,2011,0.8595431
DZA,2012,0.84258354
DZA,2013,0.8257377
DZA,2014,0.80908066
DZA,2015,0.79261416
DZA,2016,0.7764866
DZA,2017,0.76038766
DZA,2018,0.7457951
DZA,2019,0.73219454
DZA,2020,0.74020183
DZA,2023,
ASM,2023,
AND,2023,
AGO,1985,0.50618255
AGO,1989,0.95208365
AGO,1990,0.98913604
AGO,1991,1.2475586
AGO,1992,1.0302913
AGO,1993,0.9978886
AGO,1994,0.90568024
