COUNTRYCODE,YEAR,EDUCATIONGDPSHARE
FRA,1870,0.3
FRA,1913,1.5
FRA,1937,1.3
FRA,1960,2.4
FRA,1970,3.42974
FRA,1971,3.17421
FRA,1972,3.35918
FRA,1973,3.23003
FRA,1974,4.24202
FRA,1975,4.42854
FRA,1976,4.42471
FRA,1977,4.43521
FRA,1978,4.34511
FRA,1979,4.28116
FRA,1980,4.30769
FRA,1981,4.73072
FRA,1982,4.85203
FRA,1983,4.85234
FRA,1984,4.86754
FRA,1985,4.85157
FRA,1986,4.70795
FRA,1987,4.62344
FRA,1988,4.54472
FRA,1989,4.4564
FRA,1990,4.51394
FRA,1991,4.8413
FRA,1992,4.73539
FRA,1993,5.42959
FRA,1994,5.62643
FRA,1995,5.79073
FRA,1996,5.75672
FRA,1998,5.68792
FRA,2000,5.6002192
FRA,2001,5.6178
FRA,2002,5.7809753
FRA,2003,5.762063
FRA,2004,5.549234
FRA,2005,5.5172276
FRA,2006,5.4753103
FRA,2007,5.3045287
FRA,2008,5.3872757
FRA,2009,5.669219
FRA,2010,5.6427917
FRA,2011,5.4801154
FRA,2012,5.488356
FRA,2013,5.4928937
FRA,2014,5.4892044
FRA,2015,5.4464273
FRA,2016,5.408058
FRA,2017,5.4516
FRA,2018,5.40717
FRA,2019,5.35443
FRA,2020,5.65981
FRA,2021,5.43039
DEU,1870,1.3
DEU,1913,2.7
DEU,1960,2.9
DEU,1980,4.7
DEU,1993,4.40792
DEU,1994,4.33664
DEU,1995,4.43076
DEU,1996,4.49471
DEU,1998,4.46187
DEU,2000,4.0334606
DEU,2001,4.1179123
DEU,2002,4.142289
DEU,2003,4.137968
DEU,2004,4.0688343
DEU,2005,4.05373
DEU,2006,3.9757974
DEU,2007,3.8797193
DEU,2008,4.54924
DEU,2009,4.2779784
DEU,2010,5.09588
DEU,2011,4.98425
DEU,2012,4.92844
DEU,2013,4.93539
DEU,2014,4.92102
DEU,2015,4.85515
DEU,2016,4.83923
DEU,2017,4.87183
DEU,2018,4.97933
DEU,2019,5.11552
DEU,2020,5.59038
DEU,2021,5.45489
DEU,2022,4.393009
DEU,2023,4.4749913
NOR,1870,0.5
NOR,1913,1.4
NOR,1937,1.9
NOR,1960,4.2
NOR,1972,5.90406
NOR,1973,5.89172
NOR,1974,5.67366
NOR,1975,5.55022
NOR,1976,6.1636
NOR,1977,5.97281
NOR,1978,6.44438
NOR,1980,5.78015
NOR,1981,5.54364
NOR,1982,5.67885
NOR,1983,5.6463
NOR,1984,5.42937
NOR,1985,5.25567
NOR,1986,5.53984
NOR,1987,5.78808
NOR,1988,5.86597
NOR,1989,6.29985
NOR,1990,6.31037
NOR,1991,6.37322
NOR,1992,6.63614
NOR,1993,7.67663
NOR,1994,7.83044
NOR,1995,7.69568
NOR,1996,7.13805
NOR,1997,7.30343
NOR,1998,7.35759
NOR,1999,6.96222
NOR,2000,6.45934
NOR,2001,6.82016
NOR,2002,7.42246
NOR,2003,7.39933
NOR,2004,7.27744
NOR,2005,6.84083
NOR,2006,6.35822
NOR,2007,6.50671
NOR,2008,6.24916
NOR,2009,7.07067
NOR,2010,6.71042
NOR,2011,6.41491
NOR,2012,7.32766
NOR,2013,7.43906
NOR,2014,7.64403
NOR,2015,7.52335
NOR,2016,7.98445
NOR,2017,7.84598
NOR,2018,7.59563
NOR,2019,7.86456
NOR,2020,8.37282
NOR,2021,6.96022
NOR,2022,3.9680197
ESP,1913,0.4
ESP,1937,1.6
ESP,1960,1.3
ESP,1970,1.83301
ESP,1971,1.88928
ESP,1972,2.06465
ESP,1974,1.45956
ESP,1976,1.89939
ESP,1977,2.07717
ESP,1978,2.23073
ESP,1979,2.33805
ESP,1980,2.6
ESP,1987,3.12818
ESP,1988,3.3283
ESP,1989,3.55178
ESP,1990,3.63359
ESP,1991,3.74235
ESP,1992,3.83716
ESP,1993,4.24489
ESP,1994,4.48468
ESP,1995,4.43463
ESP,1996,4.45746
ESP,1998,4.28786
ESP,1999,4.26044
ESP,2000,4.16605
ESP,2001,4.11127
ESP,2002,4.13457
ESP,2003,4.17343
ESP,2004,4.15786
ESP,2005,4.14432
ESP,2006,4.18482
ESP,2007,4.25405
ESP,2008,4.52806
ESP,2009,4.912
ESP,2010,4.85608
ESP,2011,4.74083
ESP,2012,4.48113
ESP,2013,4.34962
ESP,2014,4.30151
ESP,2015,4.28457
ESP,2016,4.22544
ESP,2017,4.20552
ESP,2018,4.17949
ESP,2019,4.23022
ESP,2020,4.8954
ESP,2021,4.86507
ESP,2022,4.315879
SWE,1960,5.1
SWE,1979,6.37238
SWE,1980,6.53705
SWE,1981,6.7812
SWE,1990,5.21219
SWE,1991,5.44381
SWE,1992,5.2585
SWE,1993,5.50703
SWE,1995,6.14814
SWE,1996,6.83862
SWE,1998,7.06125
SWE,1999,6.84873
SWE,2000,6.74015
SWE,2001,6.61764
SWE,2002,6.92435
SWE,2003,6.79143
SWE,2004,6.66311
SWE,2005,6.5064
SWE,2006,6.36429
SWE,2007,6.17159
SWE,2008,6.34455
SWE,2009,6.74971
SWE,2010,6.52269
SWE,2011,6.36692
SWE,2012,7.53697
SWE,2013,7.61121
SWE,2014,7.57373
SWE,2015,7.4439
SWE,2016,7.61862
SWE,2017,7.56883
SWE,2018,7.64084
SWE,2019,7.63851
SWE,2020,7.92561
SWE,2021,7.5722
SWE,2022,7.115294
GBR,1870,0.1
GBR,1913,1.1
GBR,1937,4.0
GBR,1960,4.3
GBR,1971,5.03205
GBR,1972,5.15938
GBR,1973,5.44861
GBR,1974,5.391
GBR,1975,6.26878
GBR,1976,6.42422
GBR,1977,6.06335
GBR,1980,5.07012
GBR,1981,5.28842
GBR,1982,5.1887
GBR,1983,5.0615
GBR,1984,4.89906
GBR,1985,4.59409
GBR,1986,4.38084
GBR,1987,4.37181
GBR,1988,4.26831
GBR,1989,4.12511
GBR,1990,4.05552
GBR,1991,4.12248
GBR,1992,4.33449
GBR,1993,5.4
GBR,1994,4.85083
GBR,1995,4.83926
GBR,1996,4.37826
GBR,1998,4.20708
GBR,1999,3.98845
GBR,2000,4.01822
GBR,2001,4.10014
GBR,2002,4.61193
GBR,2003,4.80129
GBR,2004,4.73555
GBR,2005,4.92977
GBR,2006,4.97649
GBR,2007,4.92445
GBR,2008,4.90974
GBR,2009,5.06263
GBR,2010,5.69868
GBR,2011,5.57219
GBR,2012,5.578874
GBR,2013,5.5253
GBR,2014,5.60135
GBR,2015,5.55452
GBR,2016,5.42796
GBR,2017,5.45257
GBR,2018,5.20437
GBR,2019,5.26116
GBR,2020,5.43935
GBR,2021,5.90458
GBR,2022,4.9190397
USA,1960,4.0
USA,1993,5.5
USA,2000,6.0856495
USA,2001,6.29892
USA,2002,6.3599563
USA,2003,6.3286095
USA,2004,6.253762
USA,2005,6.1709843
USA,2006,6.164032
USA,2007,6.243322
USA,2008,6.4360843
USA,2009,6.7386975
USA,2010,6.6945558
USA,2011,6.497685
USA,2012,6.253889
USA,2013,6.2115464
USA,2014,6.0998206
USA,2015,4.93063
USA,2016,4.78328
USA,2017,5.09297
USA,2018,4.89502
USA,2019,4.95747
USA,2020,5.39998
USA,2021,5.4283
USA,2022,5.382429
