COUNTRYCODE,YEAR,TERTIARYCOMPLETIONRATE
AFG,1870,0.0
AFG,1875,0.0
AFG,1880,0.0
AFG,1885,0.0
AFG,1890,0.0
AFG,1895,0.0
AFG,1900,0.0
AFG,1905,0.0
AFG,1910,0.0
AFG,1915,0.1
AFG,1920,0.1
AFG,1925,0.1
AFG,1930,0.1
AFG,1935,0.1
AFG,1940,0.2
AFG,1945,0.3
AFG,1950,0.3
AFG,1955,0.5
AFG,1960,0.6
AFG,1965,0.9
AFG,1970,1.2
AFG,1975,2.5
AFG,1980,3.6
AFG,1985,4.8
AFG,1990,6.0
AFG,1995,7.0
AFG,2000,7.9
AFG,2005,8.5
AFG,2010,8.8
AFG,2015,8.8
AFG,2020,8.0
AFG,2025,7.3
AFG,2030,5.8
AFG,2035,4.8
AFG,2040,4.1
AFR,1870,0.0
AFR,1875,0.0
AFR,1880,0.0
AFR,1885,0.0
AFR,1890,0.0058999183
AFR,1895,0.0060804305
AFR,1900,0.006786721
AFR,1905,0.007659175
AFR,1910,0.026799247
AFR,1915,0.03390612
AFR,1920,0.09994243
AFR,1925,0.17051019
AFR,1930,0.25357977
AFR,1935,0.3448825
AFR,1940,0.45153433
AFR,1945,0.5309498
AFR,1950,0.65340555
AFR,1955,0.7388711
AFR,1960,0.834243
AFR,1965,0.9785784
AFR,1970,1.1705116
AFR,1975,1.2956754
AFR,1980,1.4390233
AFR,1985,2.0668306
AFR,1990,2.74479
AFR,1995,3.616308
AFR,2000,4.1453114
AFR,2005,4.818901
AFR,2010,5.6249323
AFR,2015,5.558001
AFR,2020,6.2285576
AFR,2025,7.2902317
AFR,2030,8.838183
AFR,2035,11.19107
AFR,2040,13.898678
ALB,1870,0.0
ALB,1875,0.0
ALB,1880,0.0
ALB,1885,0.0
ALB,1890,0.0
ALB,1895,0.0
ALB,1900,0.0
ALB,1905,0.0
ALB,1910,0.0
ALB,1915,0.0
ALB,1920,0.0
ALB,1925,0.0
ALB,1930,0.1
ALB,1935,0.1
ALB,1940,0.1
ALB,1945,0.1
ALB,1950,0.3
ALB,1955,0.9
ALB,1960,1.4
ALB,1965,2.3
ALB,1970,2.9
ALB,1975,4.1
ALB,1980,5.4
ALB,1985,6.0
ALB,1990,6.6
ALB,1995,6.6
ALB,2000,8.0
ALB,2005,4.8
ALB,2010,1.9
ALB,2015,2.3
ALB,2020,2.0
ALB,2025,2.8
ALB,2030,4.5
ALB,2035,6.9
ALB,2040,10.2
DZA,1870,0.0
DZA,1875,0.0
DZA,1880,0.0
DZA,1885,0.0
DZA,1890,0.1
DZA,1895,0.1
DZA,1900,0.1
DZA,1905,0.1
DZA,1910,0.2
DZA,1915,0.2
DZA,1920,0.2
DZA,1925,0.2
DZA,1930,0.3
DZA,1935,0.3
DZA,1940,0.3
DZA,1945,0.3
DZA,1950,0.4
DZA,1955,0.4
DZA,1960,0.3
DZA,1965,0.4
DZA,1970,0.4
DZA,1975,0.5
DZA,1980,1.0
DZA,1985,2.1
DZA,1990,3.5
DZA,1995,5.1
DZA,2000,6.5
DZA,2005,8.7
DZA,2010,10.9
DZA,2015,14.1
DZA,2020,17.3
DZA,2025,20.6
DZA,2030,24.2
DZA,2035,29.4
DZA,2040,35.6
ARG,1870,0.1
ARG,1875,0.1
ARG,1880,0.1
ARG,1885,0.1
ARG,1890,0.1
ARG,1895,0.2
ARG,1900,0.3
ARG,1905,0.4
ARG,1910,0.5
ARG,1915,0.7
ARG,1920,0.8
ARG,1925,0.8
ARG,1930,1.0
ARG,1935,1.1
ARG,1940,1.2
