COUNTRYCODE,YEAR,MERCHANDISEEXPORTGDPSHARE
AFG,1956,21.65766
AFG,1957,28.71579
AFG,1958,16.64957
AFG,1959,20.0166
AFG,1960,12.42149
AFG,1961,9.72874
AFG,1962,10.77439
AFG,1963,9.95858
AFG,1964,8.8625
AFG,1965,6.96358
AFG,1966,5.96429
AFG,1967,3.96855
AFG,1968,6.26942
AFG,1969,5.81196
AFG,1970,4.83685
AFG,1971,5.45571
AFG,1972,7.80723
AFG,1973,9.174
AFG,1974,10.69562
AFG,1975,9.50117
AFG,1976,11.6737
AFG,1977,10.62746
AFG,1978,8.15624
AFG,1979,11.76371
AFG,1980,18.4109
AFG,1981,20.46122
AFG,1982,15.67759
AFG,1983,18.26656
AFG,1984,24.12348
AFG,1985,22.65282
AFG,1986,23.1738
AFG,1987,28.44586
AFG,1988,23.51688
AFG,1989,9.07692
AFG,2001,3.77874
AFG,2002,2.34351
AFG,2003,5.00757
AFG,2004,5.77055
AFG,2005,6.11945
AFG,2006,5.89436
AFG,2007,4.61202
AFG,2008,5.11368
AFG,2009,3.93394
AFG,2010,3.47335
AFG,2011,2.88153
AFG,2012,2.68593
AFG,2013,3.31999
AFG,2014,3.66463
AFR,1960,17.78766
AFR,1961,17.61732
AFR,1962,17.7158
AFR,1963,17.07451
AFR,1964,20.14909
AFR,1965,19.23661
AFR,1966,19.27197
AFR,1967,19.32074
AFR,1968,20.05962
AFR,1969,20.23349
AFR,1970,19.86354
AFR,1971,18.14609
AFR,1972,18.32884
AFR,1973,21.16691
AFR,1974,28.73655
AFR,1975,23.68571
AFR,1976,24.78873
AFR,1977,26.34517
AFR,1978,24.33679
AFR,1979,28.33762
AFR,1980,29.81826
AFR,1981,26.17978
AFR,1982,23.60128
AFR,1983,22.5345
AFR,1984,24.22225
AFR,1985,25.16782
AFR,1986,18.80522
AFR,1987,17.70873
AFR,1988,17.8793
AFR,1989,20.06321
AFR,1990,22.99871
AFR,1991,21.88051
AFR,1992,21.53174
AFR,1993,19.94382
AFR,1994,21.57617
AFR,1995,22.76764
AFR,1996,24.29441
AFR,1997,23.69732
AFR,1998,21.12106
AFR,1999,22.16437
AFR,2000,26.60544
AFR,2001,26.43845
AFR,2002,26.50896
AFR,2003,26.61749
AFR,2004,29.32033
AFR,2005,31.84593
AFR,2006,33.8854
AFR,2007,33.59258
AFR,2008,37.81069
AFR,2009,26.66527
AFR,2010,26.62068
AFR,2011,29.21562
AFR,2012,28.79044
AFR,2013,26.5104
AFR,2014,24.25814
ALB,1951,0.09615
ALB,1955,6.26417
ALB,1956,10.0231
ALB,1957,14.24786
ALB,1958,0.7472
ALB,1959,0.38394
ALB,1960,0.45688
ALB,1961,0.37176
ALB,1962,1.11595
ALB,1963,2.03553
ALB,1964,1.95936
ALB,1965,1.5168
ALB,1966,1.67922
ALB,1967,1.65729
ALB,1968,2.24506
ALB,1969,1.97194
ALB,1970,2.13133
ALB,1971,3.14289
ALB,1972,2.86366
ALB,1973,3.81405
ALB,1974,6.26233
ALB,1975,6.7508
ALB,1976,5.34975
ALB,1977,6.37861
ALB,1978,5.06614
ALB,1979,10.0172
ALB,1980,19.99049
ALB,1981,18.19
ALB,1982,15.58286
ALB,1983,13.54859
ALB,1984,12.02183
ALB,1985,11.17384
ALB,1986,14.62503
ALB,1987,11.88796
ALB,1988,13.90973
ALB,1989,14.46736
ALB,1990,11.78376
ALB,1991,15.02941
ALB,1992,17.34592
ALB,1993,11.54502
ALB,1994,8.83554
ALB,1995,9.82403
ALB,1996,9.24478
ALB,1997,10.97035
ALB,1998,10.33607
ALB,1999,8.0701
ALB,2000,10.25662
ALB,2001,8.70942
ALB,2002,7.94269
ALB,2003,8.10718
ALB,2004,8.38121
ALB,2005,7.74527
ALB,2006,8.32368
ALB,2007,9.51461
ALB,2008,10.41684
ALB,2009,9.13642
ALB,2010,13.03174
ALB,2011,15.13863
ALB,2012,15.98169
ALB,2013,17.98306
ALB,2014,17.61166
DZA,1950,26.81223
