COUNTRYCODE,YEAR,MILITARYSPENDINGSHAREGDP
AFG,1919,53520820.0
AFG,1920,42221732.0
AFG,1921,52259950.0
AFG,1922,51516584.0
AFG,1923,55971864.0
AFG,1924,52934624.0
AFG,1925,54897356.0
AFG,1926,56925788.0
AFG,1927,59581836.0
AFG,1928,63676188.0
AFG,1929,67320480.0
AFG,1930,67741090.0
AFG,1931,67351150.0
AFG,1932,69513400.0
AFG,1933,79631800.0
AFG,1934,103426820.0
AFG,1935,111275510.0
AFG,1936,114359930.0
AFG,1937,114023670.0
AFG,1938,123003240.0
AFG,1939,124257090.0
AFG,1940,130245530.0
AFG,1941,132035080.0
AFG,1942,123968580.0
AFG,1943,119421464.0
AFG,1944,109696170.0
AFG,1945,115432510.0
AFG,1946,86762930.0
AFG,1947,68768010.0
AFG,1948,56811736.0
AFG,1949,57831236.0
AFG,1950,48801840.0
AFG,1951,52280850.0
AFG,1952,64598580.0
AFG,1953,69336580.0
AFG,1954,53141636.0
AFG,1955,50684984.0
AFG,1956,51851040.0
AFG,1957,59669296.0
AFG,1958,64143044.0
AFG,1959,80601790.0
AFG,1960,90155910.0
AFG,1961,99606040.0
AFG,1962,100103704.0
AFG,1963,98494856.0
AFG,1964,111203260.0
AFG,1965,115152024.0
AFG,1966,109098100.0
AFG,1967,115225870.0
AFG,1968,125555740.0
AFG,1969,120784910.0
AFG,1970,105197550.0
AFG,1971,123737070.0
AFG,1972,136241260.0
AFG,1973,111177080.0
AFG,1974,110328020.0
AFG,1975,118626970.0
AFG,1976,130356430.0
AFG,1977,134838480.0
AFG,1978,188729220.0
AFG,1979,270250460.0
AFG,1980,566759500.0
AFG,1981,603520000.0
AFG,1982,633396400.0
AFG,1983,581138750.0
AFG,1984,561787600.0
AFG,1985,598494850.0
AFG,1986,619930240.0
AFG,1987,586452500.0
AFG,1988,593363600.0
AFG,1989,573240100.0
AFG,1990,644679040.0
AFG,1991,658107260.0
AFG,1992,687746370.0
AFG,1993,681634050.0
AFG,1994,647961500.0
AFG,1995,250232780.0
AFG,1996,256782860.0
AFG,1997,251029800.0
AFG,1998,307429120.0
AFG,1999,307907600.0
AFG,2000,273417020.0
AFG,2001,258934380.0
AFG,2002,237184100.0
AFG,2003,205509040.0
AFG,2004,199371870.0
AFG,2005,173212320.0
AFG,2006,172330860.0
AFG,2007,217043680.0
AFG,2008,244460500.0
AFG,2009,316273120.0
AFG,2010,508874400.0
AFG,2011,1107551000.0
AFG,2012,1434317400.0
AFG,2013,1715403300.0
AFG,2014,1969986800.0
AFG,2015,1757688700.0
AFG,2016,1608467000.0
AFG,2017,1298881200.0
AFG,2018,1161330200.0
AFG,2019,1023985900.0
AFG,2020,774003800.0
AFG,2021,556357300.0
AFG,2023,
ALA,2023,
ALB,1914,37862236.0
ALB,1915,40314044.0
ALB,1916,37991148.0
ALB,1917,32971642.0
ALB,1918,28761654.0
ALB,1919,21156436.0
ALB,1920,17334270.0
ALB,1921,18614868.0
ALB,1922,18864584.0
ALB,1923,17254676.0
ALB,1924,15341778.0
ALB,1925,16145609.0
ALB,1926,15965308.0
ALB,1927,19976026.0
ALB,1928,28177102.0
ALB,1929,34650828.0
ALB,1930,39252516.0
ALB,1931,43233480.0
ALB,1932,42477250.0
ALB,1933,39460036.0
ALB,1934,46443796.0
ALB,1935,43993600.0
ALB,1936,47444940.0
ALB,1937,52426916.0
ALB,1938,70925704.0
ALB,1939,105584850.0
ALB,1944,128295896.0
ALB,1945,160756540.0
ALB,1946,145860110.0
ALB,1947,134025420.0
ALB,1948,133121670.0
ALB,1949,171724860.0
ALB,1950,182913060.0
ALB,1951,187030980.0
ALB,1952,207179230.0
ALB,1953,225247940.0
ALB,1954,244282050.0
ALB,1955,265292690.0
ALB,1956,318190900.0
ALB,1957,339154500.0
ALB,1958,335574660.0
ALB,1959,347941570.0
ALB,1960,340881540.0
ALB,1961,370227460.0
ALB,1962,377875650.0
ALB,1963,396143940.0
ALB,1964,403065600.0
ALB,1965,424556450.0
ALB,1966,410343800.0
ALB,1967,422768670.0
ALB,1968,469884200.0
ALB,1969,520125800.0
ALB,1970,554729300.0
ALB,1971,640343940.0
ALB,1972,637135400.0
ALB,1973,609053200.0
ALB,1974,593439000.0
ALB,1975,569764600.0
ALB,1976,644536300.0
ALB,1977,608992640.0
ALB,1978,526314460.0
ALB,1979,510388320.0
ALB,1980,467176930.0
ALB,1981,404219800.0
ALB,1982,376042400.0
ALB,1983,329368130.0
ALB,1984,320219040.0
ALB,1985,353597660.0
ALB,1986,334107100.0
ALB,1987,333073060.0
ALB,1988,312052600.0
ALB,1989,291818720.0
ALB,1990,261212030.0
ALB,1991,180051140.0
ALB,1992,109189224.0
ALB,1993,125310060.0
ALB,1994,126893740.0
ALB,1995,125056070.0
