COUNTRYCODE,YEAR,MILITARYSPENDINGGDP
AFG,1970,1.6296061
AFG,1973,1.8689103
AFG,1974,1.6108247
AFG,1975,1.7220657
AFG,1976,2.046087
AFG,1977,2.0114748
AFG,2004,2.4312537
AFG,2005,1.9920657
AFG,2006,1.896234
AFG,2007,2.5662673
AFG,2008,2.3355458
AFG,2009,2.0874126
AFG,2010,1.9458357
AFG,2011,1.8213454
AFG,2012,1.1754161
AFG,2013,1.0769497
AFG,2014,1.2980129
AFG,2015,0.99457586
AFG,2016,0.95677215
AFG,2017,0.9452267
AFG,2018,1.0067458
AFG,2019,1.1709684
AFG,2020,1.3588569
AFG,2021,1.8279338
AFG,2023,
ALA,2023,
ALB,1980,6.0520215
ALB,1981,5.848317
ALB,1982,5.6515956
ALB,1983,5.441282
ALB,1984,6.1175046
ALB,1985,5.6514263
ALB,1986,5.6261864
ALB,1987,5.862229
ALB,1988,5.6173167
ALB,1989,5.167613
ALB,1990,5.888301
ALB,1991,5.7912703
ALB,1992,4.670888
ALB,1993,3.199451
ALB,1994,2.547819
ALB,1995,2.0535874
ALB,1996,1.3790296
ALB,1997,1.2830808
ALB,1998,1.2382425
ALB,1999,1.2492101
ALB,2000,1.2463602
ALB,2001,1.3092914
ALB,2002,1.3200345
ALB,2003,1.336843
ALB,2004,1.3811579
ALB,2005,1.3500049
ALB,2006,1.567769
ALB,2007,1.8207655
ALB,2008,1.984869
ALB,2009,1.5172172
ALB,2010,1.5585918
ALB,2011,1.5282663
ALB,2012,1.4870826
ALB,2013,1.408982
ALB,2014,1.346516
ALB,2015,1.1623039
ALB,2016,1.1035811
ALB,2017,1.109151
ALB,2018,1.1605448
ALB,2019,1.280806
ALB,2020,1.2958357
ALB,2021,1.2429881
ALB,2022,1.2087886
ALB,2023,1.7407335
ALB,2024,2.0378623
DZA,1960,1.6136363
DZA,1961,1.9237287
DZA,1963,2.5114856
DZA,1964,3.496454
DZA,1965,3.4186351
DZA,1966,3.5125937
DZA,1967,3.0191004
DZA,1968,2.6147277
DZA,1969,2.3868675
DZA,1970,2.1305392
DZA,1971,2.087585
DZA,1972,1.795844
DZA,1973,1.6881621
DZA,1974,1.9576682
DZA,1975,2.1310942
DZA,1976,2.7017212
DZA,1977,2.2419505
DZA,1978,2.375229
DZA,1979,2.138696
DZA,1980,2.1020632
DZA,1981,1.818049
DZA,1982,2.0630975
DZA,1983,1.9512131
DZA,1984,1.755124
