COUNTRYCODE,YEAR,TERTIARYCOMPLETIONRATE,EDUCATIONGDPSHARE,NOBELLAUREATES,PATENTFILINGS
AFG,1870,0.0,,,
AFR,1870,0.0,,,
ALB,1870,0.0,,,
AMN,1870,0.60757506,,,
AMS,1870,0.02756539,,,
ARG,1870,0.1,,,
ASI,1870,0.0,,,
AUS,1870,0.0,,,
AUT,1870,0.6,,,
BEL,1870,0.3,,,
BEN,1870,0.0,,,
BGD,1870,0.0,,,
BGR,1870,0.0,,,
BLZ,1870,0.0,,,
BOL,1870,0.0,,,
BRA,1870,0.0,,,
BRB,1870,0.0,,,
CAN,1870,0.0,,,
CHE,1870,0.1,,,
CHL,1870,0.1,,,
CHN,1870,0.0,,,
CIV,1870,0.0,,,
CMR,1870,0.0,,,
COD,1870,0.0,,,
COL,1870,0.1,,,
CRI,1870,0.0,,,
CUB,1870,0.0,,,
CYP,1870,0.0,,,
CZE,1870,0.1,,,
DEU,1870,0.3,1.3,,
DNK,1870,0.0,,,
DOM,1870,0.0,,,
DZA,1870,0.0,,,
ECU,1870,0.0,,,
EGY,1870,0.0,,,
ESP,1870,0.2,,,
EUR,1870,0.16709624,,,
FIN,1870,0.2,,,
FJI,1870,0.0,,,
FRA,1870,0.2,0.3,,
GBR,1870,0.2,0.1,,
GHA,1870,0.0,,,
GMB,1870,0.0,,,
GRC,1870,0.1,,,
GTM,1870,0.0,,,
GUY,1870,0.0,,,
HKG,1870,0.0,,,
HND,1870,0.0,,,
HTI,1870,0.0,,,
HUN,1870,0.1,,,
IDN,1870,0.0,,,
IND,1870,0.0,,,
IRL,1870,0.0,,,
IRN,1870,0.0,,,
IRQ,1870,0.0,,,
ISL,1870,0.0,,,
ITA,1870,0.1,,,
JAM,1870,0.0,,,
JOR,1870,0.0,,,
JPN,1870,0.0,1.0,,
KEN,1870,0.0,,,
KHM,1870,0.0,,,
KOR,1870,0.0,,,
KWT,1870,0.0,,,
LBR,1870,0.0,,,
LBY,1870,0.0,,,
LKA,1870,0.0,,,
LSO,1870,0.0,,,
LUX,1870,0.0,,,
MAR,1870,0.0,,,
MEX,1870,0.0,,,
MLI,1870,0.0,,,
MLT,1870,0.0,,,
MMR,1870,0.0,,,
MOZ,1870,0.0,,,
MUS,1870,0.0,,,
MWI,1870,0.0,,,
MYS,1870,0.0,,,
NER,1870,0.0,,,
NIC,1870,0.0,,,
NLD,1870,0.2,,,
NOR,1870,0.5,0.5,,
NPL,1870,0.0,,,
NZL,1870,0.0,,,
OWID_WRL,1870,0.06790493,,,
PAK,1870,0.0,,,
PAN,1870,0.0,,,
PER,1870,0.0,,,
PHL,1870,0.0,,,
POL,1870,0.1,,,
PRT,1870,0.2,,,
PRY,1870,0.0,,,
REU,1870,0.0,,,
ROU,1870,0.0,,,
RUS,1870,0.1,,,
SDN,1870,0.0,,,
SEN,1870,0.0,,,
SLE,1870,0.0,,,
SLV,1870,0.0,,,
SRB,1870,0.0,,,
SWE,1870,0.1,,,
SWZ,1870,0.0,,,
SYR,1870,0.0,,,
TGO,1870,0.0,,,
THA,1870,0.0,,,
TTO,1870,0.0,,,
TUN,1870,0.0,,,
TUR,1870,0.0,,,
TWN,1870,0.0,,,
UGA,1870,0.0,,,
URY,1870,0.1,,,
USA,1870,0.9,,,
VEN,1870,0.0,,,
YEM,1870,0.0,,,
ZAF,1870,0.0,,,
ZMB,1870,0.0,,,
ZWE,1870,0.0,,,
AFG,1875,0.0,,,
AFR,1875,0.0,,,
ALB,1875,0.0,,,
AMN,1875,0.7034891,,,
AMS,1875,0.028387794,,,
ARG,1875,0.1,,,
ASI,1875,0.0,,,
AUS,1875,0.0,,,
AUT,1875,0.7,,,
BEL,1875,0.4,,,
BEN,1875,0.0,,,
BGD,1875,0.0,,,
BGR,1875,0.0,,,
BLZ,1875,0.0,,,
BOL,1875,0.0,,,
BRA,1875,0.0,,,
BRB,1875,0.0,,,
CAN,1875,0.0,,,
CHE,1875,0.1,,,
CHL,1875,0.1,,,
CHN,1875,0.0,,,
CIV,1875,0.0,,,
CMR,1875,0.0,,,
COD,1875,0.0,,,
COL,1875,0.1,,,
CRI,1875,0.0,,,
CUB,1875,0.1,,,
CYP,1875,0.0,,,
CZE,1875,0.1,,,
DEU,1875,0.3,,,
DNK,1875,0.0,,,
DOM,1875,0.0,,,
DZA,1875,0.0,,,
ECU,1875,0.0,,,
EGY,1875,0.0,,,
ESP,1875,0.2,,,
EUR,1875,0.18344574,,,
FIN,1875,0.2,,,
FJI,1875,0.0,,,
FRA,1875,0.2,,,
GBR,1875,0.2,,,
GHA,1875,0.0,,,
GMB,1875,0.0,,,
GRC,1875,0.2,,,
GTM,1875,0.0,,,
GUY,1875,0.0,,,
HKG,1875,0.0,,,
HND,1875,0.0,,,
HTI,1875,0.0,,,
HUN,1875,0.1,,,
IDN,1875,0.0,,,
IND,1875,0.0,,,
IRL,1875,0.1,,,
